sezona,soutez,tymu_s_postup_sestup
1949_50,"Praha Tyršův kraj, 3. úroveň (krajský přebor), skupina A",2
1949_50,"Praha Tyršův kraj, 4. úroveň, skupina A",2
1949_50,"Praha Tyršův kraj, 5. úroveň, skupina 2",2
1949_50,"Plzeňský, 3. úroveň (krajský přebor), skupina A",1
1949_50,"Plzeňský, 4. úroveň, skupina A",1
1949_50,"Plzeňský, 5. úroveň, skupina C",3
1949_50,"Ústecký, 3. úroveň (krajský přebor), skupina B",4
1949_50,"Ústecký, 4. úroveň, skupina A",2
1949_50,"Ústecký, 5. úroveň, skupina B",1
1949_50,"Královéhradecký, 3. úroveň (krajský přebor), skupina A",1
1949_50,"Královéhradecký, 4. úroveň, skupina A",3
1949_50,"Brněnský, 4. úroveň, skupina A",3
1949_50,"Brněnský, 5. úroveň, skupina C",1
1950_51,Oblastní soutěž Skupina I,4
1950_51,"Jihočeský, 3. úroveň (krajský přebor), skupina B",7
1950_51,"Plzeňský, 3. úroveň (krajský přebor), skupina I",4
1950_51,"Plzeňský, 4. úroveň, skupina D",4
1950_51,"Ústecký, 3. úroveň (krajský přebor), skupina A",1
1950_51,"Ústecký, 4. úroveň, skupina C",2
1950_51,"Ústecký, 5. úroveň, skupina B",2
1950_51,"Liberecký, 3. úroveň (krajský přebor), skupina A",3
1950_51,"Liberecký, 4. úroveň, skupina A",5
1950_51,"Liberecký, 5. úroveň, skupina A",2
1950_51,"Královéhradecký, 3. úroveň (krajský přebor), skupina A",2
1950_51,"Královéhradecký, 4. úroveň, skupina C",1
1950_51,"Královéhradecký, 5. úroveň, skupina B",5
1950_51,"Brněnský, 3. úroveň (krajský přebor), skupina A",4
1950_51,"Brněnský, 4. úroveň, skupina A",1
1950_51,"Ostravský, 3. úroveň (krajský přebor), skupina A",3
1950_51,"Ostravský, 4. úroveň, skupina A",3
1951_52,"Ostravský, 2. úroveň (oblastní), skupina A",6
1952_53,"Tyršův kraj Praha, 3. úroveň (krajský přebor), skupina I",3
1952_53,"Karlovarský, 2. úroveň (oblastní), skupina A",1
1952_53,"Liberecký, 2. úroveň (oblastní), skupina A",2
1953_54,"Jihočeský, 4. úroveň, skupina Východ",1
1953_54,"Ústecký, 3. úroveň (krajský přebor), skupina A",1
1953_54,"Liberecký, 4. úroveň, skupina A",2
1953_54,"Pardubický, 4. úroveň, skupina A",3
